Agrabah - 1st Visit


11C3BCC4 | Luna Bandit | Agrabah Heartless
11C5990C | Xemnas | Roxas Boss Fight


Final Fights


11C5C118 | Nobody from Final Battles | The World of Nothing (Cylinder Lasers) Fight
11C5C158 | Nobody from Final Battles | The World of Nothing (Cylinder Lasers) Fight
11C5C198 | Nobody from Final Battles | The World of Nothing (Cylinder Lasers) Fight
11C5C1D8 | Nobody from Final Battles | The World of Nothing (Cylinder Lasers) Fight
11C5C218 | Nobody from Final Battles | The World of Nothing (Cylinder Lasers) Fight
 
11C5B890 | Assassin | The World of Nothing (Energy Core) Fight
11C5B8D0 | Creeper | The World of Nothing (Energy Core) Fight
11C5B910 | Creeper | The World of Nothing (Energy Core) Fight
11C5B950 | Creeper | The World of Nothing (Energy Core) Fight
11C5B990 | Creeper | The World of Nothing (Energy Core) Fight
11C5B9D0 | Creeper | The World of Nothing (Energy Core) Fight
11C5BA10 | Creeper | The World of Nothing (Energy Core) Fight
11C5BA50 | Creeper | The World of Nothing (Energy Core) Fight
11C5BA90 | Creeper | The World of Nothing (Energy Core) Fight
11C5BB6C | Berserker | The World of Nothing (Energy Core) Fight
11C5BBAC | Creeper | The World of Nothing (Energy Core) Fight
11C5BBEC | Creeper | The World of Nothing (Energy Core) Fight
11C5BC2C | Creeper | The World of Nothing (Energy Core) Fight
11C5BC6C | Creeper | The World of Nothing (Energy Core) Fight
11C5BCAC | Assassin | The World of Nothing (Energy Core) Fight
11C5BCEC | Assassin | The World of Nothing (Energy Core) Fight
11C5BD2C | Assassin | The World of Nothing (Energy Core) Fight
11C5BD6C | Assassin | The World of Nothing (Energy Core) Fight

11C5A9AC | Armor Xemnas I | Armor Xemnas I Boss Fight

11C58840 | Armor Xemnas II | Armor Xemnas II Boss Fight

11C5590C | Twilight Xemnas | Final Xemnas Boss Fight


Mushroom XIII


11C41CB4 | Mushroom #1 | Mushroom #1
11C56194 | Mushroom #2 | Mushroom #2
11C55080 | Mushroom #3 | Mushroom #3
11C4C358 | Mushroom #4 | Mushroom #4
11C555CC | Mushroom #5 | Mushroom #5
11C53DD8 | Mushroom #6 | Mushroom #6
11C58F8C | Mushroom #7 | Mushroom #7
11C506B8 | Mushroom #8 | Mushroom #8
11C4CEF0 | Mushroom #9 | Mushroom #9
11C5C13C | Mushroom #10 | Mushroom #10
11C57220 | Mushroom #11 | Mushroom #11
11C4454C | Mushroom #12 | Mushroom #12
11C54B7C | Mushroom #13 | Mushroom #13


Cavern of Remmebrance


11C5B368 | Perplex | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B3A8 | Perplex | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B3E8 | Perplex | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B428 | Magic Phantom | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B468 | Magic Phantom | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B54C | Necromancer | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B58C | Iron Hammer | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B5CC | Iron Hammer | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B60C | Iron Hammer | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B730 | Mad Bumper | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B770 | Necromancer | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B7B0 | Mad Bumper | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B7F0 | Perplex | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B830 | Magic Phantom | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B870 | Perplex | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B8B0 | Iron Hammer | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B8F0 | Necromancer | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B930 | Perplex | Cavern of Remembrance: Mineshaft Heartless Fight 1
11C5B970 | Mad Bumper | Cavern of Remembrance: Mineshaft Heartless Fight 1
 
11C5BAF8 | Lance Warrior | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BB38 | Air Viking | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BB78 | Air Viking | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BBB8 | Air Viking | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BC9C | Sprint Metal | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BCDC | Rune Master | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BD1C | Sprint Metal | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BD5C | Rune Master | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BD9C | Sprint Metal | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BDDC | Rune Master | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BE1C | Sprint Metal | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BF00 | Rune Master | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BF40 | Lance Warrior | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BF80 | Lance Warrior | Cavern of Remembrance: Mineshaft Heartless Fight 2
11C5BFC0 | Lance Warrior | Cavern of Remembrance: Mineshaft Heartless Fight 2
 
11C585B0 | Dusk | Transport to Remembrance Nobodies Fight 1
11C585F0 | Dusk | Transport to Remembrance Nobodies Fight 1
11C58630 | Dusk | Transport to Remembrance Nobodies Fight 1
11C58670 | Dusk | Transport to Remembrance Nobodies Fight 1
11C586B0 | Dusk | Transport to Remembrance Nobodies Fight 1
11C586F0 | Dusk | Transport to Remembrance Nobodies Fight 1
11C58730 | Samurai | Transport to Remembrance Nobodies Fight 1
11C58770 | Samurai | Transport to Remembrance Nobodies Fight 1
11C587B0 | Samurai | Transport to Remembrance Nobodies Fight 1
11C587F0 | Samurai | Transport to Remembrance Nobodies Fight 1
11C58830 | Assassin | Transport to Remembrance Nobodies Fight 1
11C58870 | Assassin | Transport to Remembrance Nobodies Fight 1
11C588B0 | Dusk | Transport to Remembrance Nobodies Fight 1
11C588F0 | Samurai | Transport to Remembrance Nobodies Fight 1
11C58930 | Assassin | Transport to Remembrance Nobodies Fight 1
11C58970 | Dusk | Transport to Remembrance Nobodies Fight 1
11C589B0 | Dusk | Transport to Remembrance Nobodies Fight 1
11C589F0 | Samurai | Transport to Remembrance Nobodies Fight 1
11C58A30 | Assassin | Transport to Remembrance Nobodies Fight 1
11C58A70 | Dusk | Transport to Remembrance Nobodies Fight 1
11C58AB0 | Samurai | Transport to Remembrance Nobodies Fight 1
11C58AF0 | Samurai | Transport to Remembrance Nobodies Fight 1
11C58B30 | Assassin | Transport to Remembrance Nobodies Fight 1
11C58B70 | Assassin | Transport to Remembrance Nobodies Fight 1
 
11C58D94 | Sniper | Transport to Remembrance Nobodies Fight 2
11C58DD4 | Sniper | Transport to Remembrance Nobodies Fight 2
11C58E14 | Sniper | Transport to Remembrance Nobodies Fight 2
11C58E54 | Berserker | Transport to Remembrance Nobodies Fight 2
11C58E94 | Berserker | Transport to Remembrance Nobodies Fight 2
11C58ED4 | Gambler | Transport to Remembrance Nobodies Fight 2
11C58F14 | Gambler | Transport to Remembrance Nobodies Fight 2
11C58F54 | Berserker | Transport to Remembrance Nobodies Fight 2
11C58F94 | Berserker | Transport to Remembrance Nobodies Fight 2
11C58FD4 | Sniper | Transport to Remembrance Nobodies Fight 2
11C59014 | Sniper | Transport to Remembrance Nobodies Fight 2
11C59054 | Gambler | Transport to Remembrance Nobodies Fight 2
11C59094 | Gambler | Transport to Remembrance Nobodies Fight 2
11C590D4 | Sniper | Transport to Remembrance Nobodies Fight 2
11C59114 | Sniper | Transport to Remembrance Nobodies Fight 2
11C59154 | Gambler | Transport to Remembrance Nobodies Fight 2
11C59194 | Berserker | Transport to Remembrance Nobodies Fight 2
11C591D4 | Berserker | Transport to Remembrance Nobodies Fight 2
11C59214 | Sniper | Transport to Remembrance Nobodies Fight 2
11C59254 | Gambler | Transport to Remembrance Nobodies Fight 2
 
11C5941C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C5945C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C5949C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C594DC | Dragoon | Transport to Remembrance Nobodies Fight 3
11C5951C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C5955C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C5959C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C595DC | Creeper | Transport to Remembrance Nobodies Fight 3
11C5961C | Creeper | Transport to Remembrance Nobodies Fight 3
11C5965C | Dancer | Transport to Remembrance Nobodies Fight 3
11C5969C | Dancer | Transport to Remembrance Nobodies Fight 3
11C596DC | Dancer | Transport to Remembrance Nobodies Fight 3
11C5971C | Creeper | Transport to Remembrance Nobodies Fight 3
11C5975C | Dancer | Transport to Remembrance Nobodies Fight 3
11C5979C | Creeper | Transport to Remembrance Nobodies Fight 3
11C597DC | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C5981C | Dancer | Transport to Remembrance Nobodies Fight 3
11C5985C | Dancer | Transport to Remembrance Nobodies Fight 3
11C5989C | Dancer | Transport to Remembrance Nobodies Fight 3
11C598DC | Dragoon | Transport to Remembrance Nobodies Fight 3
11C5991C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C5995C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C5999C | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C599DC | Dancer | Transport to Remembrance Nobodies Fight 3
11C59A1C | Creeper | Transport to Remembrance Nobodies Fight 3
11C59A5C | Dancer | Transport to Remembrance Nobodies Fight 3
11C59A9C | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C59ADC | Dragoon | Transport to Remembrance Nobodies Fight 3
11C59B1C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C59B5C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C59B9C | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C59BDC | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C59C1C | Creeper | Transport to Remembrance Nobodies Fight 3
11C59C5C | Creeper | Transport to Remembrance Nobodies Fight 3
11C59C9C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C59CDC | Dancer | Transport to Remembrance Nobodies Fight 3
11C59D1C | Dancer | Transport to Remembrance Nobodies Fight 3
11C59D5C | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C59D9C | Creeper | Transport to Remembrance Nobodies Fight 3
11C59DDC | Dragoon | Transport to Remembrance Nobodies Fight 3
11C59E1C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C59E5C | Creeper | Transport to Remembrance Nobodies Fight 3
11C59E9C | Creeper | Transport to Remembrance Nobodies Fight 3
11C59EDC | Dancer | Transport to Remembrance Nobodies Fight 3
11C59F1C | Dancer | Transport to Remembrance Nobodies Fight 3
11C59F5C | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C59F9C | Dragoon | Transport to Remembrance Nobodies Fight 3
11C59FDC | Creeper | Transport to Remembrance Nobodies Fight 3
11C5A01C | Dancer | Transport to Remembrance Nobodies Fight 3
11C5A05C | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C5A09C | Sorcerer | Transport to Remembrance Nobodies Fight 3
11C5A0DC | Creeper | Transport to Remembrance Nobodies Fight 3


Superbosses - Data Fights, Absent Silhouettes, Sephiroth and Terra

11C59BA8 | Xemnas (Data) | Xemnas I Data Fight
11C55AAC | Twilight Xemnas (Data) | Xemnas II Data Fight
11C4ACBC | Xigbar (Data) | Xigbar Data Fight
11C5A1DC | Xaldin (Data) | Xaldin Data Fight
11C597A0 | Vexen (AS) | Vexen AS Fight
11C598D4 | Vexen (Data) | Vexen Data Fight
11C56368 | Lexaeus (AS) | Lexaeus AS Fight
11C56734 | Lexaeus (Data) | Lexaeus Data Fight
11C597E0 | Zexion (AS) | Zexion AS Fight
11C59914 | Zexion (Data) | Zexion Data Fight
11C521E0 | Saix (Data) | Saix Data Fight
11C5B0BC | Axel II (Data) | Axel II Data Fight
11C4D054 | Demyx II (Data) | Demyx II Data Fight
11C53700 | Luxord (Data) | Luxord Data Fight
11C58FE0 | Marluxia (AS) | Marluxia AS Fight
11C59114 | Marluxia (Data) | Marluxia Data Fight
11C5649C | Larxene (AS) | Larxene AS Fight
11C56868 | Larxene (Data) | Larxene Data Fight
11C4F13C | Roxas (Data) | Roxas Data Fight

11C24740 | Sephiroth | Sephiroth Boss Fight
 
11C556E0 | Terra | Terra Boss Fight
